epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,149.073,0.67555,0.9357,1,0.2095,0.000472118,0.000472118,0.000472118
2,291.022,0.31211,0.95122,1,0.18144,0.000929672,0.000929672,0.000929672
3,469.19,0.31265,0.95122,1,0.18684,0.00136836,0.00136836,0.00136836
4,616.817,0.30567,0.95787,1,0.1969,0.00134412,0.00134412,0.00134412
5,804.643,0.27638,0.95344,1,0.31315,0.00131582,0.00131582,0.00131582
6,956.625,0.25042,0.97118,1,0.11989,0.00128753,0.00128753,0.00128753
7,1108.55,0.24947,0.96231,1,0.14645,0.00125923,0.00125923,0.00125923
8,1278,0.22489,0.96674,1,0.13212,0.00123094,0.00123094,0.00123094
9,1585.3,0.20955,0.96896,1,0.13876,0.00120265,0.00120265,0.00120265
10,1745.29,0.22894,0.96674,1,0.14853,0.00117435,0.00117435,0.00117435
11,1911.81,0.18111,0.96896,1,0.1207,0.00114606,0.00114606,0.00114606
12,2054.67,0.19499,0.97118,1,0.15081,0.00111776,0.00111776,0.00111776
13,2162.09,0.17171,0.95565,1,0.15887,0.00108947,0.00108947,0.00108947
14,2293.63,0.18983,0.96452,1,0.16268,0.00106118,0.00106118,0.00106118
15,2414.37,0.20632,0.96231,1,0.1719,0.00103288,0.00103288,0.00103288
16,2515.41,0.16458,0.94235,1,0.1709,0.00100459,0.00100459,0.00100459
17,2619.64,0.17642,0.95565,1,0.15573,0.000976293,0.000976293,0.000976293
18,2725.13,0.16165,0.95344,1,0.20291,0.000947999,0.000947999,0.000947999
19,2828.57,0.14237,0.96231,1,0.12996,0.000919704,0.000919704,0.000919704
20,2934.34,0.14666,0.96009,1,0.13286,0.00089141,0.00089141,0.00089141
21,3053.73,0.14829,0.95787,1,0.23376,0.000863116,0.000863116,0.000863116
22,3181.59,0.13415,0.95122,1,0.22331,0.000834822,0.000834822,0.000834822
23,3298.72,0.13168,0.96231,1,0.15034,0.000806528,0.000806528,0.000806528
24,3398.25,0.13749,0.949,1,0.15673,0.000778233,0.000778233,0.000778233
25,3500.23,0.14701,0.96009,1,0.17753,0.000749939,0.000749939,0.000749939
26,3599.23,0.13556,0.94013,1,0.19539,0.000721645,0.000721645,0.000721645
27,3700.62,0.1325,0.95122,1,0.15151,0.000693351,0.000693351,0.000693351
28,3806.96,0.12661,0.95565,1,0.16616,0.000665057,0.000665057,0.000665057
29,3919.1,0.12937,0.94013,1,0.16877,0.000636762,0.000636762,0.000636762
30,4036.79,0.12388,0.95565,1,0.1622,0.000608468,0.000608468,0.000608468
31,4172.23,0.11556,0.95565,1,0.14505,0.000580174,0.000580174,0.000580174
32,4275.02,0.1191,0.95565,1,0.1676,0.00055188,0.00055188,0.00055188
33,4382.99,0.11388,0.94678,1,0.16178,0.000523586,0.000523586,0.000523586
34,4491.4,0.09609,0.95344,1,0.16352,0.000495291,0.000495291,0.000495291
35,4599.19,0.11895,0.94013,1,0.16687,0.000466997,0.000466997,0.000466997
36,4699.22,0.1003,0.94013,1,0.19303,0.000438703,0.000438703,0.000438703
37,4819,0.10651,0.9357,1,0.18522,0.000410409,0.000410409,0.000410409
38,4928.32,0.1009,0.93348,1,0.20695,0.000382115,0.000382115,0.000382115
39,5034.47,0.10018,0.94457,1,0.16805,0.00035382,0.00035382,0.00035382
40,5138,0.09276,0.94457,1,0.17422,0.000325526,0.000325526,0.000325526
41,5235.76,0.08815,0.94013,1,0.17685,0.000297232,0.000297232,0.000297232
42,5328.6,0.08854,0.94457,1,0.18854,0.000268938,0.000268938,0.000268938
43,5422.79,0.09723,0.94013,1,0.18934,0.000240644,0.000240644,0.000240644
44,5524.35,0.08821,0.93792,1,0.18032,0.000212349,0.000212349,0.000212349
45,5668.11,0.08008,0.93348,1,0.18861,0.000184055,0.000184055,0.000184055
46,5889.94,0.09228,0.9357,1,0.21186,0.000155761,0.000155761,0.000155761
47,6069.95,0.0828,0.93792,1,0.20277,0.000127467,0.000127467,0.000127467
48,6240.36,0.08986,0.93792,1,0.19834,9.91726e-05,9.91726e-05,9.91726e-05
49,6410.11,0.09296,0.93792,1,0.26401,7.08784e-05,7.08784e-05,7.08784e-05
50,6575.29,0.08552,0.93792,1,0.23558,4.25842e-05,4.25842e-05,4.25842e-05
